Product_Code,ProductPriceType_Code,Price,GST,Effective_From,Effective_To
2165,8,90,12,26/May/2018,
2867,8,16,12,26/May/2018,
2824,8,77,12,26/May/2018,
2739,8,80,12,26/May/2018,
2728,8,75,12,26/May/2018,
2868,8,19.5,12,26/May/2018,
2720,8,41,12,26/May/2018,
2044,8,250,12,26/May/2018,
2045,8,450,12,26/May/2018,
2825,8,30,12,26/May/2018,
2568,8,555,12,26/May/2018,
2569,8,1340,12,26/May/2018,
2106,8,1060,12,26/May/2018,
2740,8,63,12,26/May/2018,
2861,8,145,12,26/May/2018,
2855,8,400,12,26/May/2018,
2725,8,65,12,26/May/2018,
2869,8,43.5,12,26/May/2018,
2826,8,485,12,26/May/2018,
2711,8,650,12,26/May/2018,
2723,8,34,12,26/May/2018,
2874,8,17.9,12,26/May/2018,
2870,8,131,12,26/May/2018,
2717,8,650,12,26/May/2018,
2718,8,251,12,26/May/2018,
2719,8,370,12,26/May/2018,
2726,8,38.5,12,26/May/2018,
2727,8,100,12,26/May/2018,
2742,8,400,12,26/May/2018,
2743,8,210,12,26/May/2018,
2837,8,368,12,26/May/2018,
2744,8,700,12,26/May/2018,
2872,8,78,12,26/May/2018,
2749,8,190,12,26/May/2018,
2656,8,225,12,26/May/2018,
2871,8,55,12,26/May/2018,
2838,8,240,12,26/May/2018,
2840,8,350,12,26/May/2018,
2841,8,480,12,26/May/2018,
2850,8,138,12,26/May/2018,
2754,8,49,12,26/May/2018,
2756,8,360,12,26/May/2018,
2757,8,575,12,26/May/2018,
2763,8,73,12,26/May/2018,
2135,8,76,12,26/May/2018,
2853,8,400,12,26/May/2018,
2848,8,190,12,26/May/2018,
2103,8,445,12,26/May/2018,
2844,8,815,12,26/May/2018,
2764,8,295,12,26/May/2018,
2846,8,250,12,26/May/2018,
2847,8,150,12,26/May/2018,
2873,8,40,12,26/May/2018,
2858,8,480,12,26/May/2018,
2297,8,610,12,26/May/2018,
2769,8,450,12,26/May/2018,
2839,8,450,12,26/May/2018,
2835,8,470,12,26/May/2018,
2836,8,988,12,26/May/2018,
2851,8,550,12,26/May/2018,
2773,8,220,12,26/May/2018,
2051,8,20.5,12,26/May/2018,
2774,8,450,12,26/May/2018,
2772,8,630,12,26/May/2018,
714,8,240,12,26/May/2018,
2852,8,300,12,26/May/2018,
2843,8,73,12,26/May/2018,
2775,8,200,12,26/May/2018,
2778,8,750,12,26/May/2018,
2138,8,315,12,26/May/2018,
2827,8,165,12,31/May/2018,
2900,8,400,12,8/Sep/2018,
2912,8,352,12,10/Sep/2018,
2897,8,280,12,10/Sep/2018,
2915,8,56,12,10/Sep/2018,
2907,8,640,12,10/Sep/2018,
2859,8,222,12,10/Sep/2018,
2860,8,654,12,10/Sep/2018,
2715,8,252,12,17/Sep/2018,
2918,8,362,12,17/Sep/2018,
2925,8,350,12,17/Sep/2018,
2433,8,750,12,20/Sep/2018,
2829,8,113,12,20/Sep/2018,
2751,8,550,12,21/Sep/2018,
2913,8,400,12,22/Sep/2018,
2842,8,1700,12,22/Sep/2018,
2830,8,200,12,24/Sep/2018,
2317,8,263,12,24/Sep/2018,
2911,8,214,12,24/Sep/2018,
2917,8,795,12,24/Sep/2018,
2899,8,500,12,25/Sep/2018,
2916,8,503,12,25/Sep/2018,
2898,8,700,12,27/Sep/2018,
2854,8,118,12,28/Sep/2018,
451,8,140,12,29/Sep/2018,
2712,8,1200,12,3/Oct/2018,
2849,8,800,12,12/Oct/2018,
2759,8,900,12,15/Oct/2018,
2906,8,700,12,15/Oct/2018,
3257,8,25,0,15/Oct/2018,
2920,8,130,12,17/Oct/2018,
3272,8,25,0,1/Oct/2018,
3158,8,550,12,30/Oct/2018,
2919,8,600,12,1/Oct/2018,
2905,8,300,12,1/Oct/2018,
2901,8,700,12,1/Oct/2018,
2914,8,100,12,1/Oct/2018,
2909,8,322,12,1/Nov/2018,
3289,8,32,0,1/Nov/2018,
2803,8,1000,12,1/Dec/2018,
2903,8,667,12,1/Dec/2018,
3298,8,290,18,1/Dec/2018,
3253,8,200,18,1/Dec/2018,
3300,8,225,12,11/Dec/2018,
3299,8,300,12,11/Dec/2018,
2875,8,15.75,5,5/Jun/2018,
2922,8,120,12,6/Feb/2019,
2921,8,750,12,16/Feb/2019,
3063,8,300,12,1/Jun/2019,
2902,8,800,12,1/Jan/2019,
2876,8,95,5,19/Aug/2019,
3318,8,51,12,19/Aug/2019,
3314,8,44,12,19/Aug/2019,
3310,8,5.75,12,19/Aug/2019,
2877,8,4.4,12,19/Aug/2019,
3058,8,195,12,19/Aug/2019,
3311,8,29,12,19/Aug/2019,
3312,8,39,5,20/Aug/2019,
3092,8,1180,12,26/Sep/2019,
3097,8,370,12,26/Sep/2019,
3061,8,370,12,26/Sep/2019,
3062,8,760,12,26/Sep/2019,
2879,8,444,12,26/Sep/2019,
3583,8,492.8,12,11/Oct/2019,
3091,8,745,12,11/Oct/2019,
5605,8,50,12,24/Apr/2020,
5606,8,250,12,24/Apr/2020,
3057,8,780,12,29/Apr/2020,
3059,8,770,12,29/Apr/2020,
3093,8,400,12,29/Apr/2020,
3094,8,490,12,29/Apr/2020,
3096,8,1000,12,16/May/2020,
3095,8,280,12,24/Sep/2020,
2824,9,2.5,12,26/May/2018,
2739,9,4.4,12,26/May/2018,
2825,9,1.6,12,26/May/2018,
2568,9,6.5,12,26/May/2018,
2569,9,9.75,12,26/May/2018,
2855,9,7,12,26/May/2018,
2869,9,14.5,12,26/May/2018,
2870,9,58,12,26/May/2018,
2719,9,5.9,12,26/May/2018,
2726,9,15,12,26/May/2018,
2744,9,13,12,26/May/2018,
2749,9,2.6,12,26/May/2018,
2656,9,4.25,12,26/May/2018,
2840,9,10,12,26/May/2018,
2841,9,13.7,12,26/May/2018,
2850,9,3.37,12,26/May/2018,
2756,9,4.23,12,26/May/2018,
2757,9,4.55,12,26/May/2018,
2763,9,3.2,12,26/May/2018,
2135,9,2.9,12,26/May/2018,
2853,9,10,12,26/May/2018,
2848,9,2.6,12,26/May/2018,
2764,9,5.5,12,26/May/2018,
2847,9,3.9,12,26/May/2018,
2835,9,4.28,12,26/May/2018,
2836,9,6.5,12,26/May/2018,
2774,9,5.1,12,26/May/2018,
2772,9,8.9,12,26/May/2018,
714,9,4.5,12,26/May/2018,
2852,9,5.1,12,26/May/2018,
2778,9,9.5,12,26/May/2018,
2138,9,3.5,12,26/May/2018,
2740,9,24.75,12,3/Aug/2018,
2827,9,1.85,12,3/Aug/2018,
2742,9,5.2,12,3/Aug/2018,
2872,9,33.9,12,3/Aug/2018,
2838,9,2.49,12,3/Aug/2018,
2103,9,18.7,12,3/Aug/2018,
2844,9,29.8,12,3/Aug/2018,
2717,9,7.58,12,3/Aug/2018,
2718,9,6.48,12,3/Aug/2018,
2165,9,4.48,12,3/Aug/2018,
2843,9,4.7,12,3/Aug/2018,
2775,9,8.8,12,3/Aug/2018,
2773,9,5.9,12,3/Aug/2018,
2912,9,6,12,10/Sep/2018,
2897,9,20.4,12,10/Sep/2018,
2915,9,2,12,10/Sep/2018,
2918,9,3.62,12,17/Sep/2018,
2925,9,8,12,17/Sep/2018,
2433,9,18.5,12,20/Sep/2018,
2751,9,39.9,12,21/Sep/2018,
2913,9,10,12,22/Sep/2018,
2317,9,3.2,12,24/Sep/2018,
2911,9,4,12,24/Sep/2018,
2917,9,9,12,24/Sep/2018,
2899,9,5,12,25/Sep/2018,
2916,9,5.7,12,25/Sep/2018,
451,9,9.5,12,29/Sep/2018,
2712,9,36,12,3/Oct/2018,
2759,9,43,12,15/Oct/2018,
2906,9,9.6,12,15/Oct/2018,
3257,9,16,0,15/Oct/2018,
2920,9,8,12,17/Oct/2018,
3272,9,13,0,1/Oct/2018,
3158,9,7.9,12,30/Oct/2018,
2919,9,9,12,1/Oct/2018,
2829,9,30,12,3/Nov/2018,
2830,9,55,12,3/Nov/2018,
2905,9,6.8,12,1/Oct/2018,
2901,9,8,12,1/Oct/2018,
2914,9,2.5,12,1/Oct/2018,
2909,9,4.6,12,1/Nov/2018,
3289,9,22,0,1/Nov/2018,
2867,9,8.4,12,4/Dec/2018,
2728,9,28.08,12,4/Dec/2018,
2907,9,24.75,12,4/Dec/2018,
2859,9,13.55,12,4/Dec/2018,
2868,9,10.5,12,4/Dec/2018,
2720,9,15.75,12,4/Dec/2018,
2860,9,26.75,12,4/Dec/2018,
2044,9,7.38,12,4/Dec/2018,
2045,9,13.2,12,4/Dec/2018,
2106,9,43.58,12,4/Dec/2018,
2861,9,8.35,12,4/Dec/2018,
2725,9,21.4,12,4/Dec/2018,
2826,9,43,12,4/Dec/2018,
2711,9,20.35,12,4/Dec/2018,
2723,9,14.98,12,4/Dec/2018,
2874,9,7.95,12,4/Dec/2018,
2743,9,11.13,12,4/Dec/2018,
2837,9,20.48,12,4/Dec/2018,
2871,9,20.33,12,4/Dec/2018,
2715,9,12.08,12,4/Dec/2018,
2849,9,15.4,12,4/Dec/2018,
2854,9,4.52,12,4/Dec/2018,
2754,9,3.19,12,4/Dec/2018,
2846,9,5.08,12,4/Dec/2018,
2873,9,20.9,12,4/Dec/2018,
2858,9,12,12,4/Dec/2018,
2900,9,5.25,12,4/Dec/2018,
2297,9,27.61,12,4/Dec/2018,
2769,9,17.12,12,4/Dec/2018,
2839,9,10.63,12,4/Dec/2018,
2898,9,22.47,12,4/Dec/2018,
2851,9,8.93,12,4/Dec/2018,
2051,9,12.63,12,4/Dec/2018,
2842,9,55,12,4/Dec/2018,
2727,9,31.5,12,4/Dec/2018,
2803,9,31,12,1/Dec/2018,
2903,9,8,12,1/Dec/2018,
3298,9,120,18,1/Dec/2018,
3253,9,65,18,1/Dec/2018,
3300,9,80,12,11/Dec/2018,
3299,9,120,12,11/Dec/2018,
2875,9,5.5,5,5/Jun/2018,
2922,9,5.5,12,6/Feb/2019,
2921,9,14.8,12,16/Feb/2019,
3063,9,4,12,1/Jun/2019,
2902,9,9,12,1/Jan/2019,
2876,9,30,5,19/Aug/2019,
3318,9,21,12,19/Aug/2019,
3314,9,12,12,19/Aug/2019,
3310,9,4.35,12,19/Aug/2019,
2877,9,2.9,12,19/Aug/2019,
3058,9,2.8,12,19/Aug/2019,
3311,9,9.5,12,19/Aug/2019,
3312,9,16,5,20/Aug/2019,
3092,9,59.4,12,26/Sep/2019,
3097,9,9.5,12,26/Sep/2019,
3061,9,8,12,26/Sep/2019,
3062,9,13.4,12,26/Sep/2019,
2879,9,96,12,26/Sep/2019,
3583,9,8.4,12,11/Oct/2019,
3091,9,49.4,12,11/Oct/2019,
5605,9,33,12,24/Apr/2020,
5606,9,135,12,24/Apr/2020,
3057,9,24.6,12,29/Apr/2020,
3059,9,4.2,12,29/Apr/2020,
3093,9,2.9,12,29/Apr/2020,
3094,9,4,12,29/Apr/2020,
3096,9,15.8,12,16/May/2020,
3095,9,4.8,12,24/Sep/2020,
